,awayTeam.id,awayTeam.name,group,homeTeam.id,homeTeam.name,id,lastUpdated,matchday,referees,score.duration,score.extraTime.awayTeam,score.extraTime.homeTeam,score.fullTime.awayTeam,score.fullTime.homeTeam,score.halfTime.awayTeam,score.halfTime.homeTeam,score.penalties.awayTeam,score.penalties.homeTeam,score.winner,season.currentMatchday,season.endDate,season.id,season.startDate,stage,status,utcDate
115,7283,FK Crvena Zvezda,Group C,524,Paris Saint-Germain FC,250695,2019-01-11T17:30:10Z,2.0,"[{'id': 82279, 'name': 'Artur Dias', 'nationality': None}, {'id': 37626, 'name': 'Rui Licínio Barbosa Tavares', 'nationality': None}, {'id': 37714, 'name': 'Paulo Soares', 'nationality': None}, {'id': 38806, 'name': 'João Pedro Pinheiro', 'nationality': None}, {'id': 37660, 'name': 'Bruno Rodrigues', 'nationality': None}, {'id': 15713, 'name': 'Tiago Martins', 'nationality': None}]",REGULAR,,,1.0,6.0,0.0,4.0,,,HOME_TEAM,7,2019-06-01,175,2018-06-26,GROUP_STAGE,FINISHED,2018-10-03T16:55:00Z
116,6,FC Schalke 04,Group D,5455,FK Lokomotiv Moskva,250707,2019-01-11T17:30:10Z,2.0,"[{'id': 11580, 'name': 'Anthony Taylor', 'nationality': None}, {'id': 11581, 'name': 'Gary Beswick', 'nationality': None}, {'id': 11615, 'name': 'Adam Nunn', 'nationality': None}, {'id': 11551, 'name': 'Martin Atkinson', 'nationality': None}, {'id': 11606, 'name': 'Constantine Hatzidakis', 'nationality': None}, {'id': 11494, 'name': 'Stuart Attwell', 'nationality': None}]",REGULAR,,,1.0,0.0,0.0,0.0,,,AWAY_TEAM,7,2019-06-01,175,2018-06-26,GROUP_STAGE,FINISHED,2018-10-03T16:55:00Z
117,548,AS Monaco FC,Group A,4,BV Borussia 09 Dortmund,250671,2019-01-11T17:30:09Z,2.0,"[{'id': 43929, 'name': 'Aliaksei Kulbakov', 'nationality': None}, {'id': 43930, 'name': 'Dmitry Zhuk', 'nationality': None}, {'id': 43931, 'name': 'Oleg Maslyanko', 'nationality': None}, {'id': 96973, 'name': None, 'nationality': None}, {'id': 43933, 'name': 'Denis Scherbakov', 'nationality': None}]",REGULAR,,,0.0,3.0,0.0,0.0,,,HOME_TEAM,7,2019-06-01,175,2018-06-26,GROUP_STAGE,FINISHED,2018-10-03T19:00:00Z
118,851,Club Brugge KV,Group A,78,Club Atlético de Madrid,250672,2019-01-11T17:30:09Z,2.0,"[{'id': 43954, 'name': 'Ivan Kružliak', 'nationality': None}, {'id': 43956, 'name': 'Tomáš Somoláni', 'nationality': None}, {'id': 43957, 'name': 'Branislav Hancko', 'nationality': None}, {'id': 43958, 'name': 'Filip Glova', 'nationality': None}, {'id': 15643, 'name': 'Peter Kráľovič', 'nationality': None}, {'id': 96978, 'name': None, 'nationality': None}]",REGULAR,,,1.0,3.0,1.0,1.0,,,HOME_TEAM,7,2019-06-01,175,2018-06-26,GROUP_STAGE,FINISHED,2018-10-03T19:00:00Z
119,81,FC Barcelona,Group B,73,Tottenham Hotspur FC,250683,2019-01-11T17:30:09Z,2.0,"[{'id': 43878, 'name': 'Felix Zwayer', 'nationality': None}, {'id': 43923, 'name': 'Thorsten Schiffner', 'nationality': None}, {'id': 43879, 'name': 'Marco Achmüller', 'nationality': None}, {'id': 9567, 'name': 'Sascha Stegemann', 'nationality': None}, {'id': 43943, 'name': 'Tobias Stieler', 'nationality': None}, {'id': 43921, 'name': 'Guido Kleve', 'nationality': None}]",REGULAR,,,4.0,2.0,2.0,0.0,,,AWAY_TEAM,7,2019-06-01,175,2018-06-26,GROUP_STAGE,FINISHED,2018-10-03T19:00:00Z
120,108,FC Internazionale Milano,Group B,674,PSV,250684,2019-01-11T17:30:09Z,2.0,"[{'id': 9371, 'name': 'Milorad Mažić', 'nationality': None}, {'id': 9372, 'name': 'Milovan Ristić', 'nationality': None}, {'id': 56231, 'name': 'Dalibor Đurđević', 'nationality': None}, {'id': 9376, 'name': 'Danilo Grujić', 'nationality': None}, {'id': 43904, 'name': 'Nemanja Petrović', 'nationality': None}, {'id': 9375, 'name': 'Nenad Djokic', 'nationality': None}]",REGULAR,,,2.0,1.0,1.0,1.0,,,AWAY_TEAM,7,2019-06-01,175,2018-06-26,GROUP_STAGE,FINISHED,2018-10-03T19:00:00Z
121,64,Liverpool FC,Group C,113,SSC Napoli,250696,2019-01-11T17:30:10Z,2.0,"[{'id': 43910, 'name': 'Viktor Kassai', 'nationality': None}, {'id': 43911, 'name': 'György Ring', 'nationality': None}, {'id': 43912, 'name': 'Vencel Tóth', 'nationality': None}, {'id': 43914, 'name': 'Sándor Andó-Szabó', 'nationality': None}, {'id': 43827, 'name': 'Tamás Bognár', 'nationality': None}, {'id': 43913, 'name': 'Péter Berettyán', 'nationality': None}]",REGULAR,,,0.0,1.0,0.0,0.0,,,HOME_TEAM,7,2019-06-01,175,2018-06-26,GROUP_STAGE,FINISHED,2018-10-03T19:00:00Z
122,610,Galatasaray SK,Group D,503,FC Porto,250708,2019-01-11T17:30:10Z,2.0,"[{'id': 11605, 'name': 'Michael Oliver', 'nationality': None}, {'id': 11564, 'name': 'Stuart Burt', 'nationality': None}, {'id': 11488, 'name': 'Simon Bennett', 'nationality': None}, {'id': 11610, 'name': 'Andre Marriner', 'nationality': None}, {'id': 11520, 'name': 'Paul Tierney', 'nationality': None}]",REGULAR,,,0.0,1.0,0.0,0.0,,,HOME_TEAM,7,2019-06-01,175,2018-06-26,GROUP_STAGE,FINISHED,2018-10-03T19:00:00Z
123,5,FC Bayern München,Group E,1899,PAE AEK,250721,2019-01-11T17:30:11Z,3.0,"[{'id': 43929, 'name': 'Aliaksei Kulbakov', 'nationality': None}, {'id': 43930, 'name': 'Dmitry Zhuk', 'nationality': None}, {'id': 43931, 'name': 'Oleg Maslyanko', 'nationality': None}, {'id': 96973, 'name': None, 'nationality': None}, {'id': 43933, 'name': 'Denis Scherbakov', 'nationality': None}]",REGULAR,,,2.0,0.0,0.0,0.0,,,AWAY_TEAM,7,2019-06-01,175,2018-06-26,GROUP_STAGE,FINISHED,2018-10-23T16:55:00Z
124,95,Valencia CF,Group H,1871,BSC Young Boys,250757,2019-01-11T17:30:12Z,3.0,"[{'id': 76226, 'name': 'Aleksandrs Anufrijevs', 'nationality': None}, {'id': 43839, 'name': 'Haralds Gudermanis', 'nationality': None}, {'id': 43840, 'name': 'Aleksejs Spasjoņņikovs', 'nationality': None}, {'id': 82503, 'name': 'Edgars Maļcevs', 'nationality': None}, {'id': 43838, 'name': 'Andris Treimanis', 'nationality': None}]",REGULAR,,,1.0,1.0,1.0,0.0,,,DRAW,7,2019-06-01,175,2018-06-26,GROUP_STAGE,FINISHED,2018-10-23T16:55:00Z
